canonical,step,tokens,tokens_billions,loss,grad_norm,tps_per_gpu,mfu_percent
true,1,4194304,0.004194304,12.236162185668945,2.9924116134643555,925.226026169034,2.3815738494202465
true,10,41943040,0.041943040,11.608298301696777,3.6054773330688477,28709.614985515258,73.89985402759865
true,20,83886080,0.083886080,10.144760131835938,6.824610233306885,29687.918399289254,76.41805148545642
true,30,125829120,0.125829120,9.470641136169434,3.233518123626709,29673.260794954007,76.38032214560579
true,40,167772160,0.167772160,8.959579467773438,1.7802656888961792,29678.16239605087,76.39293908964152
true,50,209715200,0.209715200,8.474176406860352,1.1318745613098145,29688.171068152566,76.41870186659617
true,60,251658240,0.251658240,8.070611953735352,0.8653857707977295,29681.785988277956,76.40226638075191
true,70,293601280,0.293601280,7.66202449798584,0.7623906135559082,29674.86716117819,76.38445700528754
true,80,335544320,0.335544320,7.378617286682129,1.2075083255767822,29701.786044732227,76.4537474352091
true,90,377487360,0.377487360,7.171782493591309,1.1412501335144043,29626.313779659624,76.25947839416443
true,100,419430400,0.419430400,6.964902877807617,1.2068129777908325,29637.9776752558,76.28950179163547
true,110,461373440,0.461373440,6.89039421081543,1.242620587348938,29636.257173590595,76.28507314214029
true,120,503316480,0.503316480,6.763128757476807,2.1182854175567627,29674.31490405604,76.38303547035112
true,130,545259520,0.545259520,6.724210262298584,2.0019359588623047,29627.914985716714,76.26359997134152
true,140,587202560,0.587202560,6.566815376281738,1.5354069471359253,29633.760723073272,76.27864716502737
true,150,629145600,0.629145600,6.480257511138916,1.7886966466903687,29643.232672356404,76.30302839304919
true,160,671088640,0.671088640,6.3921966552734375,2.6058473587036133,29616.148242514475,76.23331183945733
true,170,713031680,0.713031680,6.331117630004883,1.529554843902588,27310.61197372454,70.29875668067616
true,180,754974720,0.754974720,6.243671417236328,1.3666282892227173,29534.780396514827,76.02386730511063
true,190,796917760,0.796917760,6.1944499015808105,1.7141362428665161,29563.686708300917,76.09827346564417
true,200,838860800,0.838860800,6.10811185836792,2.0220696926116943,29577.052954479284,76.13267879089763
true,210,880803840,0.880803840,6.037930488586426,0.9617079496383667,29578.651072394623,76.13679241905747
true,220,922746880,0.922746880,5.919827461242676,1.1630817651748657,29570.265105748244,76.11520655970824
true,230,964689920,0.964689920,5.866250038146973,0.8850734829902649,29553.469899179057,76.07197493453833
true,240,1006632960,1.006632960,5.803316593170166,0.8849437832832336,29535.5265702579,76.02578799024418
