lineage,display_name,step,loss,global_max_loss,grad_norm,tps_per_gpu,mfu,n_tokens_seen,lr,value_precision,is_interpolated,ema31,segment
bf16,BF16 historical control,1,12.26094913482666,12.278322219848633,3.426424026489258,8784.639888853319,22.61144830703244,4718592.0,1.5e-07,exported_float_payload,False,12.26094913482666,observed_series
bf16,BF16 historical control,50,8.459760665893555,9.869484901428224,1.5239732265472412,15355.643740663743,39.52505157369031,210239488.0,7.499999999999999e-06,exported_float_payload,False,11.531143800909376,observed_series
bf16,BF16 historical control,100,7.019661903381348,7.790396690368652,1.7295743227005005,15402.5105087398,39.64568548891933,419954688.0,1.5e-05,exported_float_payload,False,10.40403102747516,observed_series
bf16,BF16 historical control,150,6.498444557189941,7.131857872009277,1.1913131475448608,15345.50434921858,39.4989530279983,629669888.0,2.25e-05,exported_float_payload,False,9.372522035416601,observed_series
bf16,BF16 historical control,200,5.929128170013428,6.941734790802002,1.4817368984222412,14146.476322783274,36.412684201791,839385088.0,3e-05,exported_float_payload,False,8.496360337442374,observed_series
bf16,BF16 historical control,250,5.844924449920654,6.8872389793396,0.7121388912200928,15328.298894087458,39.45466660712976,1049100288.0,3.75e-05,exported_float_payload,False,7.763533029930544,observed_series
bf16,BF16 historical control,300,5.482861042022705,6.02686882019043,1.1059536933898926,15243.02747715774,39.235180064668256,1258815488.0,4.5e-05,exported_float_payload,False,7.164420922991455,observed_series
bf16,BF16 historical control,350,5.404107570648193,6.133815765380859,0.8623522520065308,15316.527395936506,39.42436705867879,1468530688.0,5.25e-05,exported_float_payload,False,6.685133815989403,observed_series
bf16,BF16 historical control,400,5.168393611907959,5.782725811004639,0.7594699263572693,15328.27446939074,39.45460373855753,1678245888.0,6e-05,exported_float_payload,False,6.279176747629554,observed_series
bf16,BF16 historical control,450,5.044816017150879,6.462557792663574,0.8767181038856506,15366.950481356847,39.55415484780716,1887961088.0,6.75e-05,exported_float_payload,False,5.945906376498172,observed_series
bf16,BF16 historical control,500,4.846962451934815,5.058584690093994,0.6044358015060425,15348.84490881394,39.50755154672675,2097676288.0,7.5e-05,exported_float_payload,False,5.666970441458706,observed_series
bf16,BF16 historical control,550,4.716823101043701,5.307648658752441,0.4935766160488128,15344.004084149974,39.495091382390186,2307391488.0,8.25e-05,exported_float_payload,False,5.418972619711411,observed_series
bf16,BF16 historical control,600,4.605247497558594,4.772584915161133,0.6523362398147583,15345.124165769184,39.49797444509427,2517106688.0,8.999999999999999e-05,exported_float_payload,False,5.20667576282012,observed_series
bf16,BF16 historical control,650,4.457377433776856,4.752910137176514,0.7906897068023682,15327.59683794638,39.45285953178649,2726821888.0,9.75e-05,exported_float_payload,False,5.010655318809748,observed_series
bf16,BF16 historical control,700,4.287064075469971,4.62148904800415,0.5952102541923523,15341.530526695153,39.48872450597501,2936537088.0,0.0001049999999999,exported_float_payload,False,4.823066558347559,observed_series
bf16,BF16 historical control,750,4.12910795211792,4.588642120361328,0.4846555888652801,15338.733411091504,39.48152479879509,3146252288.0,0.0001125,exported_float_payload,False,4.654232444809684,observed_series
bf16,BF16 historical control,800,4.0422844886779785,4.372835636138916,0.4951086342334747,15333.314887746998,39.4675776521784,3355967488.0,0.0001199999999999,exported_float_payload,False,4.491699902632287,observed_series
bf16,BF16 historical control,850,4.167440414428711,4.655919075012207,1.4950391054153442,15344.111148826234,39.49536696424936,3565682688.0,0.0001274999999999,exported_float_payload,False,4.369003032900537,observed_series
bf16,BF16 historical control,900,3.853212356567383,4.190485954284668,0.4420383870601654,15285.44169560258,39.34435322600247,3775397888.0,0.000135,exported_float_payload,False,4.261550158799455,observed_series
bf16,BF16 historical control,950,4.022382736206055,4.444414138793945,1.6177650690078735,15330.449671910754,39.46020265666471,3985113088.0,0.0001425,exported_float_payload,False,4.163411303569578,observed_series
bf16,BF16 historical control,1000,3.790470838546753,4.1063079833984375,0.2183068990707397,15308.356162587976,39.40333450380999,4194828288.0,0.00015,exported_float_payload,False,4.102328908216297,observed_series
bf16,BF16 historical control,1050,3.761897802352905,4.120767593383789,0.363891452550888,15290.122245396453,39.356400846741806,4404543488.0,0.0001574999999999,exported_float_payload,False,4.009981848339693,observed_series
bf16,BF16 historical control,1100,3.982451915740967,4.546059608459473,1.178383708000183,15320.28380533405,39.43403596463137,4614258688.0,0.000165,exported_float_payload,False,3.969528416112235,observed_series
bf16,BF16 historical control,1150,3.692469358444214,4.065149784088135,0.2822000682353973,15293.153714784396,39.364203774833015,4823973888.0,0.0001724999999999,exported_float_payload,False,3.9250805541225664,observed_series
bf16,BF16 historical control,1200,3.666581153869629,4.33419132232666,0.2047690153121948,15288.801293551396,39.35300074898727,5033689088.0,0.0001799999999999,exported_float_payload,False,3.8640042755268627,observed_series
bf16,BF16 historical control,1250,3.619046449661255,3.91645097732544,0.3109707534313202,15297.764612356748,39.376072112457024,5243404288.0,0.0001874999999999,exported_float_payload,False,3.798280653304829,observed_series
bf16,BF16 historical control,1300,3.659265518188477,3.9925849437713614,0.3818273544311523,15306.490708733349,39.3985328711948,5453119488.0,0.000195,exported_float_payload,False,3.7485085233091207,observed_series
