source_segment,step,loss,global_max_loss,grad_norm,tps_per_gpu,mfu,n_tokens_seen,lr
fresh_through_step16000,1,12.246232986450195,12.253912925720215,2.719388246536255,1700.2859936115078,4.376594865912639,4194304.0,1.5e-07
fresh_through_step16000,10,11.6273193359375,11.98574447631836,4.092634677886963,37492.45982057271,96.50688635775857,41943040.0,1.4999999999999998e-06
fresh_through_step16000,20,10.246533393859863,11.401142120361328,5.158615589141846,37411.49588041717,96.29848237975713,83886080.0,2.9999999999999997e-06
fresh_through_step16000,30,9.477113723754883,10.981340408325195,2.958956003189087,37435.05064732622,96.35911316323076,125829120.0,4.499999999999999e-06
fresh_through_step16000,40,8.971437454223633,10.320331573486328,1.832213044166565,37423.724106710084,96.32995825652955,167772160.0,5.999999999999999e-06
fresh_through_step16000,50,8.486435890197754,9.940277099609375,1.4450695514678955,37428.81212838048,96.34305500002093,209715200.0,7.499999999999999e-06
fresh_through_step16000,60,8.06502628326416,9.670780181884766,1.5932577848434448,37423.44985819511,96.329252331381,251658240.0,8.999999999999999e-06
fresh_through_step16000,70,7.675479412078857,8.890634536743164,1.7520147562026978,37417.036025540336,96.31274290462974,293601280.0,1.05e-05
fresh_through_step16000,80,7.414133071899414,8.40780258178711,2.2084527015686035,37384.53491989352,96.22908393628867,335544320.0,1.1999999999999999e-05
fresh_through_step16000,90,7.2139201164245605,8.37925910949707,1.1342440843582153,37396.275816856585,96.25930541053641,377487360.0,1.3499999999999998e-05
fresh_through_step16000,100,7.022747039794922,7.789957046508789,2.1364338397979736,37374.59673048574,96.20350269354363,419430400.0,1.4999999999999999e-05
fresh_through_step16000,110,6.888266563415527,7.6815056800842285,1.394974946975708,37371.71031339211,96.19607295626393,461373440.0,1.6499999999999998e-05
fresh_through_step16000,120,6.75109338760376,7.490434646606445,1.7337958812713623,37381.94198517157,96.22240963276893,503316480.0,1.7999999999999997e-05
fresh_through_step16000,130,6.650040626525879,7.397198677062988,2.18552303314209,37344.16606429118,96.12517310785404,545259520.0,1.95e-05
fresh_through_step16000,140,6.5738525390625,7.567368507385254,1.9903146028518677,37343.57376704566,96.12364851428943,587202560.0,2.1e-05
fresh_through_step16000,150,6.526093482971191,7.149877548217773,1.9569066762924194,37345.62340434978,96.12892435149324,629145600.0,2.2499999999999998e-05
fresh_through_step16000,160,6.387869834899902,7.163602352142334,1.7412433624267578,37335.98776265318,96.10412187700508,671088640.0,2.3999999999999997e-05
fresh_through_step16000,170,6.369322299957275,6.849315643310547,2.86379337310791,37328.87001965285,96.08580056071526,713031680.0,2.55e-05
fresh_through_step16000,180,6.224934101104736,7.089978218078613,1.139002799987793,37318.319542866986,96.05864326911404,754974720.0,2.6999999999999996e-05
fresh_through_step16000,190,6.166668891906738,7.1508870124816895,2.3289713859558105,37281.2606005606,95.96325227180907,796917760.0,2.8499999999999998e-05
fresh_through_step16000,200,5.934689521789551,6.928635597229004,1.3876206874847412,31469.89705743464,81.0046018198497,838860800.0,2.9999999999999997e-05
fresh_through_step16000,210,5.860605239868164,6.446673393249512,1.2042479515075684,37169.45244996283,95.67545423094302,880803840.0,3.149999999999999e-05
fresh_through_step16000,220,5.869283199310303,6.780986785888672,1.471274495124817,37216.58534099431,95.79677592016415,922746880.0,3.2999999999999996e-05
fresh_through_step16000,230,5.763689994812012,6.598199844360352,1.165012001991272,37277.43711439059,95.95341048636566,964689920.0,3.45e-05
fresh_through_step16000,240,5.891913414001465,6.346409797668457,1.7758145332336426,37311.21766726811,96.04036279606352,1006632960.0,3.5999999999999994e-05
fresh_through_step16000,250,5.849921226501465,6.828944206237793,1.8837345838546753,33988.608535345185,87.48785214618111,1048576000.0,3.75e-05
fresh_through_step16000,260,5.628384590148926,6.069666862487793,1.7446280717849731,37170.46246028729,95.67805403239826,1090519040.0,3.9e-05
fresh_through_step16000,270,5.5553131103515625,6.450708389282227,1.1061550378799438,37239.02379442549,95.85453327419455,1132462080.0,4.05e-05
fresh_through_step16000,280,5.672141075134277,6.341163635253906,1.6400717496871948,37279.51073445688,95.95874805602752,1174405120.0,4.2e-05
fresh_through_step16000,290,5.633753776550293,5.904557704925537,1.5760083198547363,37287.09555826022,95.97827165443465,1216348160.0,4.3499999999999993e-05
fresh_through_step16000,300,5.437551498413086,5.944286346435547,1.0845661163330078,37266.10818623447,95.92424943405408,1258291200.0,4.4999999999999996e-05
fresh_through_step16000,310,5.511995315551758,6.024929046630859,1.5039582252502441,37302.7521020547,96.01857213885098,1300234240.0,4.65e-05
fresh_through_step16000,320,5.463537216186523,5.88661003112793,1.0040850639343262,37265.523685324435,95.92274490852625,1342177280.0,4.7999999999999994e-05
fresh_through_step16000,330,5.408309459686279,5.674123764038086,1.3667311668395996,37303.78491069377,96.02123062395539,1384120320.0,4.95e-05
fresh_through_step16000,340,5.36600399017334,5.831206321716309,1.094577431678772,37290.60311843617,95.98730023545905,1426063360.0,5.1e-05
fresh_through_step16000,350,5.386234283447266,6.076352119445801,1.6073615550994873,37259.926143569166,95.90833664274045,1468006400.0,5.2499999999999995e-05
fresh_through_step16000,360,5.304525375366211,6.259054183959961,1.270693302154541,37280.7995279717,95.96206545504238,1509949440.0,5.399999999999999e-05
fresh_through_step16000,370,5.242935657501221,5.574651718139648,1.1412724256515503,37290.48894942422,95.98700636047953,1551892480.0,5.5499999999999994e-05
fresh_through_step16000,380,5.242711544036865,5.48631477355957,1.3828508853912354,37255.74937558308,95.89758549770208,1593835520.0,5.6999999999999996e-05
fresh_through_step16000,390,5.10448694229126,5.480382919311523,0.8832732439041138,37297.5979351421,96.00530513522189,1635778560.0,5.85e-05
fresh_through_step16000,400,5.175007343292236,5.755603313446045,0.9707497358322144,37262.2733865396,95.91437852720696,1677721600.0,5.9999999999999995e-05
fresh_through_step16000,410,5.082623481750488,5.275679588317871,0.8335220813751221,37281.676783019706,95.96432353983143,1719664640.0,6.149999999999999e-05
fresh_through_step16000,420,5.083183288574219,5.539071559906006,0.8832235336303711,37273.88069098319,95.94425612969607,1761607680.0,6.299999999999999e-05
fresh_through_step16000,430,5.056619644165039,5.387967109680176,0.8841186165809631,37274.779563200165,95.94656985782457,1803550720.0,6.45e-05
fresh_through_step16000,440,5.033661842346191,5.452341556549072,1.0797936916351318,37283.63374759499,95.9693608342308,1845493760.0,6.599999999999999e-05
fresh_through_step16000,450,5.04194974899292,6.852051734924316,1.2108798027038574,37288.77383639968,95.98259160032396,1887436800.0,6.75e-05
fresh_through_step16000,460,4.960071563720703,5.411959648132324,0.8338119387626648,37292.761997342226,95.9928572643188,1929379840.0,6.9e-05
fresh_through_step16000,470,4.928697109222412,5.168067932128906,0.7705017924308777,37287.59434826586,95.97955555713459,1971322880.0,7.049999999999999e-05
fresh_through_step16000,480,4.929863929748535,5.123757362365723,1.2476433515548706,37282.6114491099,95.9667294026257,2013265920.0,7.199999999999999e-05
fresh_through_step16000,490,4.938457489013672,5.179691314697266,1.0770831108093262,37299.93826898049,96.01132923534394,2055208960.0,7.35e-05
