lineage,display_name,step,loss,global_max_loss,grad_norm,tps_per_gpu,mfu,n_tokens_seen,lr,max_active_gib,max_reserved_gib,num_alloc_retries,num_ooms,value_precision,is_interpolated
mxfp4_rht,MXFP4 + fixed-sign column RHT,1,12.255767822265625,12.27364730834961,2.847022294998169,1186.4342371280766,3.05385272042344,4194304,1.5e-07,126.863778591156,137.37109375,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,10,11.562026023864746,11.997295379638672,5.800050735473633,35699.313679865874,91.88916063515391,41943040,1.4999999999999998e-06,127.32994747161865,145.95703125,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,20,10.215009689331055,11.57264518737793,7.222196578979492,35964.844044759215,92.57262930270302,83886080,2.9999999999999997e-06,127.32994747161865,145.95703125,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,30,9.388477325439453,10.734542846679688,3.322786808013916,35899.04292899759,92.40325883943827,125829120,4.499999999999999e-06,127.32994747161865,148.984375,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,40,8.921391487121582,10.416732788085938,1.376198649406433,35850.88437329035,92.2792998944282,167772160,5.999999999999999e-06,127.32994747161865,148.984375,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,50,8.399357795715332,9.68998908996582,1.4023497104644775,35777.64162840259,92.09077485972574,209715200,7.499999999999999e-06,127.32994747161865,148.984375,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,60,8.019434928894043,10.204282760620117,2.6222691535949707,35720.95725625902,91.94487067164772,251658240,8.999999999999999e-06,127.32994747161865,150.8203125,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,70,7.681309223175049,9.036020278930664,1.4375536441802979,35673.274029030224,91.82213521052033,293601280,1.05e-05,127.32994747161865,150.8203125,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,80,7.414340019226074,8.365440368652344,1.1989535093307495,35710.878730305005,91.91892879224187,335544320,1.1999999999999999e-05,127.32994747161865,150.8203125,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,90,7.232810020446777,8.469976425170898,1.7234222888946533,35674.06346669758,91.82416720377594,377487360,1.3499999999999998e-05,127.32994747161865,150.8203125,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,100,7.011549949645996,7.958717346191406,2.038891315460205,35621.6759414808,91.68932299463815,419430400,1.4999999999999999e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,110,6.926860332489014,9.890899658203125,1.3039761781692505,35657.480800676625,91.78148382685102,461373440,1.6499999999999998e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,120,6.769536018371582,7.937959671020508,2.5006015300750732,35634.606000946194,91.722604651588,503316480,1.7999999999999997e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,130,6.707541465759277,7.691212177276611,1.4717708826065063,35614.115903160484,91.66986364082948,545259520,1.95e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,140,6.575129985809326,7.677048683166504,2.2156105041503906,35552.99162971842,91.51253125535585,587202560,2.1e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,150,6.489139556884766,7.564032077789307,1.8531137704849243,35522.347710879156,91.43365455744612,629145600,2.2499999999999998e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,160,6.425570487976074,7.406978607177734,2.4172024726867676,35530.539881077,91.45474100325318,671088640,2.3999999999999997e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,170,6.359375,6.946752548217773,1.6033161878585815,35503.75672063124,91.38580180306049,713031680,2.55e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,180,6.301247596740723,7.1995649337768555,1.9092901945114136,35562.45256055827,91.53688346003678,754974720,2.6999999999999996e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,190,6.244048595428467,6.852636337280273,1.6879771947860718,35507.42213374651,91.39523648680719,796917760,2.8499999999999998e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,200,6.151083469390869,6.7786054611206055,2.404951572418213,35550.21871214483,91.50539383331372,838860800,2.9999999999999997e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,210,6.070515155792236,6.824382781982422,1.2068045139312744,35495.046482351296,91.36338186267584,880803840,3.149999999999999e-05,127.32994747161865,151.07421875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,220,5.952516555786133,6.480771064758301,1.6079883575439453,35436.887474455616,91.21368199822379,922746880,3.2999999999999996e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,230,5.908880233764648,6.42672061920166,1.7725820541381836,35486.10758346912,91.34037335549131,964689920,3.45e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,240,5.851499557495117,6.4945526123046875,1.6540334224700928,35493.055917767015,91.35825819810123,1006632960,3.5999999999999994e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,250,5.804454326629639,6.488717079162598,1.4550048112869263,35554.91176897918,91.51747364686949,1048576000,3.75e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,260,5.798280239105225,6.721997261047363,1.855705976486206,35509.54201858684,91.40069301855927,1090519040,3.9e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,270,5.705593585968018,6.137144088745117,1.5229274034500122,35477.184635792255,91.3174059063193,1132462080,4.05e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,280,5.691364765167236,6.729910373687744,2.3319337368011475,35516.396939716804,91.41833741795867,1174405120,4.2e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,290,5.642942905426025,6.669315814971924,1.5291903018951416,35486.684382030755,91.3418580208874,1216348160,4.3499999999999993e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,300,5.593997478485107,6.70889949798584,1.3903813362121582,35443.54132930474,91.23080885793198,1258291200,4.4999999999999996e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,310,5.555548191070557,6.553901672363281,1.3648149967193604,35461.36476651153,91.27668594955486,1300234240,4.65e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,320,5.499527454376221,6.958917617797852,1.1012890338897705,35426.219848897206,91.18622379083854,1342177280,4.7999999999999994e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,330,5.457065582275391,5.976503372192383,1.0292036533355713,35496.11253726802,91.36612586196857,1384120320,4.95e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,340,5.389584064483643,5.8854780197143555,1.0752276182174683,35463.61318492376,91.28247332357861,1426063360,5.1e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,350,5.34163236618042,6.043323516845703,1.0547082424163818,35448.717224074084,91.244131484528,1468006400,5.2499999999999995e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,360,5.343801021575928,5.951064586639404,1.248918056488037,35545.906853268156,91.49429521398149,1509949440,5.399999999999999e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,370,5.300451755523682,5.86794900894165,0.988695502281189,35493.70752760465,91.35993542589273,1551892480,5.5499999999999994e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,380,5.303931713104248,6.054100036621094,1.2847023010253906,35433.41346888898,91.20473999282775,1593835520,5.6999999999999996e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,390,5.196646690368652,5.821905136108398,1.0226861238479614,25367.409850791693,65.29509277350178,1635778560,5.85e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,400,5.112934589385986,5.746325969696045,1.129502296447754,35137.23479790395,90.44238333468843,1677721600,5.9999999999999995e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,410,5.075028419494629,6.190447807312012,1.2956875562667847,35158.622535445305,90.49743484823247,1719664640,6.149999999999999e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,420,5.016835689544678,5.746320724487305,0.9214128851890564,35211.132254782504,90.6325935820488,1761607680,6.299999999999999e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
mxfp4_rht,MXFP4 + fixed-sign column RHT,430,5.027714252471924,5.738903045654297,1.1192437410354614,35321.702831359114,90.91719954292755,1803550720,6.45e-05,127.32994747161865,151.69921875,0,0,exported_float_payload,False
