lineage,step,historical_loss,seed42_loss,seed42_minus_historical
bf16,1,12.260949134827,12.245900000000,-0.015049134827
bf16,50,8.459760665894,8.474400000000,0.014639334106
bf16,100,7.019661903381,7.073500000000,0.053838096619
bf16,150,6.498444557190,6.525400000000,0.026955442810
bf16,200,5.929128170013,5.940000000000,0.010871829987
bf16,250,5.844924449921,5.851300000000,0.006375550079
bf16,300,5.482861042023,5.471400000000,-0.011461042023
bf16,350,5.404107570648,5.384300000000,-0.019807570648
bf16,400,5.168393611908,5.190200000000,0.021806388092
bf16,450,5.044816017151,5.043100000000,-0.001716017151
bf16,500,4.846962451935,4.860100000000,0.013137548065
bf16,550,4.716823101044,4.759400000000,0.042576898956
bf16,600,4.605247497559,4.598200000000,-0.007047497559
bf16,650,4.457377433777,4.452100000000,-0.005277433777
bf16,700,4.287064075470,4.313600000000,0.026535924530
bf16,750,4.129107952118,4.129800000000,0.000692047882
bf16,800,4.042284488678,4.034900000000,-0.007384488678
bf16,850,4.167440414429,4.132300000000,-0.035140414429
bf16,900,3.853212356567,3.851200000000,-0.002012356567
bf16,950,4.022382736206,3.842000000000,-0.180382736206
bf16,1000,3.790470838547,3.871100000000,0.080629161453
bf16,1050,3.761897802353,3.790700000000,0.028802197647
bf16,1100,3.982451915741,3.718800000000,-0.263651915741
bf16,1150,3.692469358444,3.740800000000,0.048330641556
bf16,1200,3.666581153870,3.672600000000,0.006018846130
bf16,1250,3.619046449661,3.753300000000,0.134253550339
bf16,1300,3.659265518188,3.588500000000,-0.070765518188
bf16,1350,3.536465167999,3.561800000000,0.025334832001
bf16,1400,3.563374996185,3.499000000000,-0.064374996185
bf16,1450,3.757646322250,3.601000000000,-0.156646322250
bf16,1500,3.507305622101,3.480200000000,-0.027105622101
bf16,1550,3.451782941818,3.434700000000,-0.017082941818
bf16,1600,3.501176595688,3.577000000000,0.075823404312
bf16,1650,3.458543300629,3.445900000000,-0.012643300629
bf16,1700,3.401931047440,3.608400000000,0.206468952560
bf16,1750,3.369283437729,3.400600000000,0.031316562271
bf16,1800,3.646224260330,3.356700000000,-0.289524260330
bf16,1850,3.290917873383,3.380100000000,0.089182126617
bf16,1900,3.251440048218,3.279200000000,0.027759951782
bf16,1950,3.261809587479,3.294000000000,0.032190412521
bf16,2000,3.283554553986,3.284000000000,0.000445446014
te_native,1,12.254979133606,12.229100000000,-0.025879133606
te_native,50,8.482719421387,8.489500000000,0.006780578613
te_native,100,7.047188758850,7.058200000000,0.011011241150
te_native,150,6.535217761993,6.523500000000,-0.011717761993
te_native,200,5.957798480988,5.964700000000,0.006901519012
te_native,250,5.862791538239,5.876200000000,0.013408461761
te_native,300,5.474640846252,5.478000000000,0.003359153748
te_native,350,5.404565811157,5.406400000000,0.001834188843
te_native,400,5.230560302734,5.192200000000,-0.038360302734
te_native,450,5.043448448181,5.062100000000,0.018651551819
te_native,500,4.851816177368,4.888300000000,0.036483822632
te_native,550,4.777345657349,4.746300000000,-0.031045657349
te_native,600,4.621623039246,4.636800000000,0.015176960754
te_native,650,4.524693489075,4.475000000000,-0.049693489075
te_native,700,4.350558280945,4.319500000000,-0.031058280945
te_native,750,4.155715942383,4.177300000000,0.021584057617
te_native,800,4.207382202148,4.073000000000,-0.134382202148
te_native,850,4.027654647827,4.102900000000,0.075245352173
te_native,900,3.880158662796,3.877900000000,-0.002258662796
te_native,950,3.844921112061,3.839900000000,-0.005021112061
te_native,1000,3.782841205597,3.856100000000,0.073258794403
te_native,1050,3.814756870270,3.785400000000,-0.029356870270
te_native,1100,3.705169916153,3.704600000000,-0.000569916153
te_native,1150,3.815418243408,3.671300000000,-0.144118243408
te_native,1200,3.651383161545,3.869200000000,0.217816838455
te_native,1250,3.601943016052,3.642900000000,0.040956983948
te_native,1300,3.811414957047,3.650600000000,-0.160814957047
te_native,1350,3.561656713486,3.558700000000,-0.002956713486
te_native,1400,3.503290891647,3.504500000000,0.001209108353
te_native,1450,3.683375120163,3.488600000000,-0.194775120163
te_native,1500,3.472466945648,3.546200000000,0.073733054352
te_native,1550,3.470770120621,3.422800000000,-0.047970120621
te_native,1600,3.861590147018,3.431700000000,-0.429890147018
te_native,1650,3.457264184952,3.459800000000,0.002535815048
te_native,1700,3.425611257553,3.419100000000,-0.006511257553
te_native,1750,3.477919816971,3.402800000000,-0.075119816971
te_native,1800,3.406572818756,3.325300000000,-0.081272818756
te_native,1850,3.332309961319,3.304600000000,-0.027709961319
te_native,1900,3.285735368729,3.259800000000,-0.025935368729
te_native,1950,3.279292106628,3.291800000000,0.012507893372
te_native,2000,3.377017021179,3.268900000000,-0.108117021179
