lineage,display_name,step,loss,global_max_loss,grad_norm,tps_per_gpu,mfu,n_tokens_seen,lr,max_active_gib,max_reserved_gib,num_alloc_retries,num_ooms,value_precision,is_interpolated
operand_hybrid_plain_h16,Operand hybrid + plain H16,1,12.255767822265625,12.27364730834961,2.9352877140045166,978.3101082824328,2.518146300993455,4194304.0,1.5e-07,134.64021682739258,144.19921875,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,10,11.56953239440918,12.00191593170166,6.0131707191467285,35219.652562799805,90.65452464658085,41943040.0,1.4999999999999998e-06,129.81909656524658,148.837890625,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,20,10.223761558532715,11.576026916503906,7.316956043243408,35525.00428896889,91.44049252450108,83886080.0,2.9999999999999997e-06,129.81909656524658,148.837890625,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,30,9.399374008178711,10.746511459350586,3.427042245864868,35690.726372444784,91.86705711579452,125829120.0,4.499999999999999e-06,129.81909656524658,148.837890625,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,40,8.930073738098145,10.42300796508789,1.4602396488189697,35625.28575145434,91.69861455725743,167772160.0,5.999999999999999e-06,129.81909656524658,148.857421875,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,50,8.40823745727539,9.699666976928711,1.536160945892334,35550.51755416367,91.50616304536412,209715200.0,7.499999999999999e-06,129.81909656524658,148.857421875,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,60,8.023120880126953,10.212234497070312,2.128608226776123,35532.26832917327,91.45918998639587,251658240.0,8.999999999999999e-06,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,70,7.680431842803955,9.032417297363281,1.9314570426940918,35443.55214825409,91.23083670564313,293601280.0,1.05e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,80,7.429410457611084,8.388527870178223,1.9662375450134277,35437.815695105266,91.21607121548284,335544320.0,1.1999999999999999e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,90,7.2181172370910645,8.46440601348877,1.1345762014389038,35388.75356092891,91.08978648158396,377487360.0,1.3499999999999998e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,100,7.018146514892578,7.97239351272583,1.7050987482070923,35439.2775919151,91.2198341021309,419430400.0,1.4999999999999999e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,110,6.94067907333374,9.971820831298828,1.912956953048706,35378.84595916892,91.06428455687478,461373440.0,1.6499999999999998e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,120,6.786038398742676,8.247271537780762,1.6747807264328003,35370.35776887418,91.0424361625754,503316480.0,1.7999999999999997e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,130,6.709120273590088,7.678417205810547,1.3218917846679688,35316.8612300177,90.90473737944221,545259520.0,1.95e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,140,6.564265727996826,7.678529262542725,1.4015754461288452,35318.63481145162,90.90930253469261,587202560.0,2.1e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,150,6.495773792266846,7.546332359313965,2.342811107635498,35308.02764511331,90.88199994786179,629145600.0,2.2499999999999998e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,160,6.426595211029053,7.420925140380859,2.262430429458618,35279.52289329836,90.80862941357428,671088640.0,2.3999999999999997e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,170,6.377503395080566,6.9600934982299805,1.821842908859253,35288.06086005368,90.83060593126626,713031680.0,2.55e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,180,6.31636905670166,7.2709550857543945,2.4362916946411133,35298.71875516855,90.85803909272772,754974720.0,2.6999999999999996e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,190,6.2326788902282715,6.852561950683594,1.6785659790039062,35244.33006485298,90.71804393355013,796917760.0,2.8499999999999998e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,200,6.158470153808594,6.7785539627075195,1.7076009511947632,35223.96076064537,90.66561384250852,838860800.0,2.9999999999999997e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,210,6.1105170249938965,6.832595348358154,1.728108286857605,35283.75301423932,90.81951764145832,880803840.0,3.149999999999999e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,220,5.964164733886719,6.491120338439941,1.5119320154190063,35140.1363088512,90.44985175293051,922746880.0,3.2999999999999996e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,230,5.918219089508057,6.452532768249512,1.3722237348556519,35227.69218320236,90.67521843294438,964689920.0,3.45e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,240,5.879026412963867,6.512557029724121,2.917362689971924,35238.44192030764,90.7028879934438,1006632960.0,3.5999999999999994e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,250,5.850082874298096,6.532803535461426,1.756742238998413,35204.83368758666,90.61638122407408,1048576000.0,3.75e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
operand_hybrid_plain_h16,Operand hybrid + plain H16,260,5.823090076446533,6.743995666503906,1.2552423477172852,35205.49595794599,90.6180858917878,1090519040.0,3.9e-05,129.81909656524658,148.876953125,0,0,exported_float_payload,False
