lineage,display_name,step,loss,reference_lineage,reference_loss,absolute_delta,relative_delta_percent,metric_source,is_interpolated
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,38140,2.4593048095703125,bf16,2.3646368980407715,0.0946679115295410,4.0034861846221905072478812177165574327140814913530,raw_exact_step_observations,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,38140,2.4593048095703125,te_native,2.396352767944336,0.0629520416259765,2.6269939246039583892429458615413752548292752497552,raw_exact_step_observations,False
te_f0l4_seed42,TE F0L4,38140,2.385180711746216,bf16,2.3646368980407715,0.0205438137054445,0.86879358613012219954925854444696963586630135443792,raw_exact_step_observations,False
te_f0l4_seed42,TE F0L4,38140,2.385180711746216,te_native,2.396352767944336,-0.011172056198120,-0.46621083287765382955557473363136387437463307518469,raw_exact_step_observations,False
