lineage,display_name,step,loss,global_max_loss,grad_norm,tps_per_gpu,total_tps,mfu,n_tokens_seen,lr,max_active_gib,max_reserved_gib,num_alloc_retries,num_ooms,value_precision,is_interpolated
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,1,12.255767822265625,12.27364730834961,2.9363560676574707,1185.7557371953167,75888.36718050027,3.0521062781844823,4194304.0,1.5e-07,134.40364456176758,144.138671875,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,10,11.569381713867188,12.000356674194336,6.019514083862305,36049.66214786669,2307178.3774634684,92.79094902646868,41943040.0,1.4999999999999998e-06,129.74023914337158,148.759765625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,20,10.223660469055176,11.576526641845703,7.318117618560791,36171.81711738634,2314996.2955127256,93.10537293156754,83886080.0,2.9999999999999997e-06,129.74023914337158,148.759765625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,30,9.39936351776123,10.745793342590332,3.4281773567199707,36180.463650232276,2315549.6736148656,93.12762889572255,125829120.0,4.499999999999999e-06,129.74023914337158,148.759765625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,40,8.930492401123047,10.423201560974121,1.4682615995407104,36151.262529908294,2313680.801914131,93.05246592591762,167772160.0,5.999999999999999e-06,129.74023914337158,148.759765625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,50,8.40831184387207,9.699991226196289,1.5014293193817139,36123.13733285145,2311880.789302493,92.98007235629812,209715200.0,7.499999999999999e-06,129.74023914337158,148.759765625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,60,8.035343170166016,10.21479606628418,3.4941723346710205,36101.0110015497,2310464.7040991806,92.92311972047195,251658240.0,8.999999999999999e-06,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,70,7.6912760734558105,9.038339614868164,1.8188796043395996,36080.438256110036,2309148.0483910423,92.87016597667274,293601280.0,1.05e-05,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,80,7.413816452026367,8.360140800476074,1.6710889339447021,36067.70803779847,2308333.314419102,92.83739870596715,335544320.0,1.1999999999999999e-05,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,90,7.20202112197876,8.444334030151367,1.5983550548553467,36036.998111651745,2306367.8791457117,92.75835210686175,377487360.0,1.3499999999999998e-05,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,100,6.993489742279053,7.942893981933594,2.500006675720215,36038.37953228464,2306456.290066217,92.76190784979786,419430400.0,1.4999999999999999e-05,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,110,6.926485061645508,9.901016235351562,3.2865262031555176,36025.39802853932,2305625.4738265164,92.7284937765292,461373440.0,1.6499999999999998e-05,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,120,6.767215728759766,8.039887428283691,1.4557207822799683,35997.50444824695,2303840.284687805,92.6566963827989,503316480.0,1.7999999999999997e-05,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,130,6.75296688079834,7.739239692687988,4.43468713760376,35975.6733618792,2302443.0951602687,92.60050370021472,545259520.0,1.95e-05,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,140,6.634322643280029,7.764863967895508,3.415304183959961,35969.9064948062,2302074.015667597,92.58565992535716,587202560.0,2.1e-05,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,150,6.515565395355225,7.609720230102539,1.1654225587844849,35966.230011243395,2301838.7207195773,92.57619674654917,629145600.0,2.2499999999999998e-05,129.74023914337158,148.818359375,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,160,6.407963752746582,7.454122543334961,2.0048069953918457,35938.15920374951,2300042.1890399684,92.50394317433502,671088640.0,2.3999999999999997e-05,129.74023914337158,148.837890625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,170,6.346124172210693,6.946799278259277,0.9703028798103333,35936.199534687505,2299916.7702200003,92.49889903407941,713031680.0,2.55e-05,129.74023914337158,148.837890625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,180,6.3096394538879395,7.194000244140625,2.836507797241211,35944.356837239415,2300438.8375833225,92.5198957314183,754974720.0,2.6999999999999996e-05,129.74023914337158,148.837890625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,190,6.243439197540283,6.852685928344727,2.3275904655456543,35929.25356020094,2299472.22785286,92.48102026556617,796917760.0,2.8499999999999998e-05,129.74023914337158,148.837890625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,200,6.136276721954346,6.756308555603027,2.0574910640716553,35923.62377372717,2299111.921518539,92.46652933281973,838860800.0,2.9999999999999997e-05,129.74023914337158,148.837890625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,210,6.138564586639404,6.9862213134765625,1.9990694522857666,35900.24356367468,2297615.5880751796,92.40634924374399,880803840.0,3.149999999999999e-05,129.74023914337158,148.837890625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,220,5.97550630569458,6.518765449523926,1.3237266540527344,35921.83214877238,2298997.2575214324,92.46191773398775,922746880.0,3.2999999999999996e-05,129.74023914337158,148.837890625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,230,5.955357074737549,6.457258224487305,1.951541781425476,35935.939286206514,2299900.114317217,92.49822916085189,964689920.0,3.45e-05,129.74023914337158,148.837890625,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,240,5.8532609939575195,6.488218784332275,1.1984531879425049,35908.058722418325,2298115.758234773,92.42646527128512,1006632960.0,3.5999999999999994e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,250,5.821117877960205,6.4990234375,2.304757833480835,35911.81685248406,2298356.2785589797,92.43613860619556,1048576000.0,3.75e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,260,5.827088356018066,6.764585494995117,2.0217390060424805,35930.98318195213,2299582.923644936,92.48547226966794,1090519040.0,3.9e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,270,5.722726345062256,6.138132095336914,1.5239887237548828,35933.20791712293,2299725.3066958673,92.49119868360725,1132462080.0,4.05e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,280,5.708149433135986,6.783219337463379,1.5220582485198975,35875.8395285127,2296053.7298248126,92.34353385386689,1174405120.0,4.2e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,290,5.6318230628967285,6.677680969238281,1.2604279518127441,35874.00778565461,2295936.498281895,92.33881899253262,1216348160.0,4.3499999999999993e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,300,5.61045503616333,6.712821960449219,2.2978708744049072,35884.54303093264,2296610.753979689,92.3659364563126,1258291200.0,4.4999999999999996e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,310,5.5766472816467285,6.479072570800781,1.8225362300872803,35893.37501417799,2297176.0009073913,92.3886697652618,1300234240.0,4.65e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,320,5.506147384643555,6.948090553283691,1.2988356351852417,35919.299649367655,2298835.17755953,92.45539914243452,1342177280.0,4.7999999999999994e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,330,5.464052200317383,5.998002052307129,1.136763334274292,35876.53374127029,2296098.1594412983,92.34532074053281,1384120320.0,4.95e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,340,5.452625751495361,5.93203067779541,2.1042826175689697,35903.17340735938,2297803.0980710005,92.41389058975959,1426063360.0,5.1e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,350,5.347010612487793,6.041701316833496,1.2347921133041382,35901.63564234426,2297704.681110033,92.40993242020595,1468006400.0,5.2499999999999995e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,360,5.357345104217529,5.976247787475586,1.1034891605377197,35883.50194101606,2296544.124225028,92.36325671631988,1509949440.0,5.399999999999999e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,370,5.294039249420166,5.843809127807617,0.9451362490653992,35893.03309856845,2297154.1183083807,92.387789682842,1551892480.0,5.5499999999999994e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
operand_hybrid_fixed_h32,Operand hybrid + fixed H32,380,5.297995567321777,6.076162815093994,1.1107559204101562,35876.96571978452,2296125.8060662095,92.34643264266745,1593835520.0,5.6999999999999996e-05,129.74023914337158,148.876953125,0,0,exported_float_payload,False
